crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
20005,ARTS 1316,Drawing Foundations,W,1900,2150,Arbor 1320.04,Janet Morton Reynolds,Spring 2023,100% F2F w/supplmtnl web,Closed
20006,ARTS 1325,Drawing for Non-Art Majors,W,1600,1850,Arbor 1320.04,Marjorie Carol Paben,Spring 2023,100% F2F w/supplmtnl web,Closed
20007,ARTS 1325,Drawing for Non-Art Majors,M,1600,1850,Arbor 1320.04,Lauren E Kussro,Spring 2023,100% F2F w/supplmtnl web,Closed
20008,ARTS 1325,Drawing for Non-Art Majors,W,1900,2150,Arbor 1320.04,Janet Morton Reynolds,Spring 2023,100% F2F w/supplmtnl web,Closed
20009,ARTS 2316,Painting,MW,1300,1550,Arbor 1150.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Opened
20011,ARTS 2371,Digital Photography 1,W,1300,1550,Student Services Bld 220114,Angela Duron-Larson,Spring 2023,< 50% online,Opened
20012,ARTS 2371,Digital Photography 1,W,1900,2150,Student Services Bld 220114,Angela Duron-Larson,Spring 2023,< 50% online,Opened
20013,ARTS 2371,Digital Photography 1,T,830,1120,SSCB� 220113,Leslie Plaza Johnson,Spring 2023,< 50% online,Opened
20014,ARTS 2371,Digital Photography 1,H,830,1120,Student Services Bld 220114,Leslie Plaza Johnson,Spring 2023,< 50% online,Opened
20015,ARTS 2371,Digital Photography 1,H,1600,1850,Student Services Bld 220114,Daniel Seth Kraus,Spring 2023,< 50% online,Closed
20017,ARTS 2379,Arts and the Child,T,1800,2050,Arbor 1315.02,David Anthony Moya,Spring 2023,100% F2F w/supplmtnl web,Opened
20018,ARTS 2379,Arts and the Child,T,1800,2050,Arbor 1310.06,Victoria Suzanne Williams,Spring 2023,100% F2F w/supplmtnl web,Opened
20019,ARTS 2379,Arts and the Child,T,1800,2050,Arbor 1310.02,Henry A Darragh,Spring 2023,100% F2F w/supplmtnl web,Closed
20020,ARTS 3310,Sculpture,MW,900,1150,Arbor North 1200.15,Jason D Makepeace,Spring 2023,100% F2F w/supplmtnl web,Closed
